company_name,company_size,description,founded,headquarters,image,industry,name,num_employees,phone,specialties,type,website
"hourspot
",2-10 employees,"Hourspot est une start-up créée en 2019 par 5 étudiantes en communication.

Le but ?

Proposer des biens atypiques en location à l'heure pour la réalisation de projets artistiques.",2019,"Bordeaux, Nouvelle-Aquitaine",https://media.licdn.com/dms/image/C4D0BAQGOYDWsLoFNsw/company-logo_400_400/0?e=1583971200&v=beta&t=yFs11t1LyLayqJGt8T-FuBfG80u6uk2WBFaYrd0sciw,Internet,hourspot.,,,"Location, Immobilier, Biens atypiques, and Projets artistiques",Privately Held,
"blank
",2-10 employees,"Common sense follows pre-conceived rules. It tells the world which tick goes in which box. Uncommon sense does not. 

Blank is a collective of specialists. We are conceptual thinkers. We lack the blind faith needed to conform to conventional business thinking. 

In a changing business world, convention no longer applies.  We don’t just think outside the box. We understand that today, there is no box. It takes the ‘uncommon’ to understand that for brands to be more, originality is required. 

Uncommon Sense is our spiritual proposition.",2010,,https://media.licdn.com/dms/image/C4D0BAQF1A4HVBIYlzg/company-logo_400_400/0?e=1583971200&v=beta&t=YnTStykwomcXva-7VFqsJoEkjJfH5xbMAwBQtmM9rsg,Design,Blank,1210.0,,,Sole Proprietorship,http://www.BlankIsA.Com
"100x
",2-10 employees,"100X is a team of entrepreneurs evolving the nature of work. We partner with large companies to uncover opportunities, and partner with coworking spaces to source innovators.

Then we form a team of entrepreneurs and create a startup that is co-owned by our corporate partners.",2014,,https://media.licdn.com/dms/image/C560BAQF2JZVLayPing/company-logo_400_400/0?e=1583971200&v=beta&t=9FmFY-06AbySmygGg4-v1qEl_4ZHDZvjxph0DxirfeE,Management Consulting,100X,1.0,,,Partnership,
"1956
","10,001+ employees","Sogeti is a leading provider of technology and engineering services. Sogeti delivers solutions that enable digital transformation and offers cutting-edge expertise in Cloud, Cybersecurity, Digital Manufacturing, Quality Assurance & Testing, and emerging technologies. Sogeti combines agility and speed of implementation with strong technology supplier partnerships, world class methodologies and its global delivery model, Rightshore®. Sogeti brings together more than 25,000 professionals in 15 countries, based in over 100 locations in Europe, USA and India. Sogeti is a wholly-owned subsidiary of Capgemini SE, listed on the Paris Stock Exchange. 

For more information please visit www.sogeti.com.",1967,"Paris, Paris -  Issy-les-Moulineaux",https://media.licdn.com/dms/image/C4D0BAQG-CfmjAzLyPA/company-logo_400_400/0?e=1583971200&v=beta&t=mcS_TfwSSDYlEG5VEC9q-fVWZ1FzlZfFj2QK4z7Q2G8,Information Technology & Services,Sogeti,13816.0,,"Application Services, High-Tech Engineering, Testing, Infrastructure Services, Business Intelligence, Design and Engineering, Web Content Management, Security, Mobile, Cloud, Digital Manufacturing, Artificial Intelligence, DevOps, Cognitive QA, IoT, Cybersecurity, Analytics, and Business Assurance",Public Company,http://www.sogeti.com
"1touch
",2-10 employees,1Touch is an application which helps users reserve their favourite court.,2017,"Subang Jaya, Selangor","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Information Technology & Services,1Touch,2.0,,,Privately Held,
"2tor
",2-10 employees,"Download on the Google Play Store
Download on the Apple App Store
www.2torapp.com

Like us on Facebook: 2TOR
Follow us on Instagram: @2torapp

--WHAT IS 2TOR?--

2TOR is an online shared economy platform where the public can find their local tutors. For the everyday user 2TOR will help you find the best tutor for you to match your location, price, time and what you want to learn. For tutors, teachers, coaches and trainers, 2TOR is a platform for you to manage your classes, your availability and a platform for you to build up your reputation to find more students. 2TOR believes that everyone should be able to teach their talents and passion to anyone who wants to learn. 2TOR gives you the opportunity to teach anything you want, and to learn everything you can.

--OUR PHILOSOPHY--

GIVING BACK TO SOCIETY
We believe in building the foundations of a good business. For us this means contributing to our society in a positive manner to all our users and to all our teachers. 

FOR TEACHERS
2TOR was designed from the ground up for the benefit of all teachers. We aim to cultivate a strong relationship with each of our teachers and in doing so we believe we are able to provide the public with higher standard of learning. We believe that everyone has knowledge, skills or talent that they could to share whilst be able to maintain a sustained lifestyle. 

FOR THE COMMUNITY
We created 2TOR not out of greed but for our community, for your community! A shared economy driven by the human desire to learn and grow. Whether that learning comes from situational circumstances or from personal motivations, 2TOR will be here for you. Others may attempt to copy us, but none will have our foundation, our story and our passion that we have built with the community in Australia. 

OPEN TO ALL
We always welcome the public to our office to meet our dedicated staff where we can share our story with you.",2016,"Docklands, Victoria",https://media.licdn.com/dms/image/C4E0BAQH6jPUkxFye8Q/company-logo_400_400/0?e=1583971200&v=beta&t=IAHzeHWEGEd8uRz24iMAENkFpsFWHoY_8HM_TD5GyhU,Education Management,2TOR,9.0,,"Tutoring, Teaching, Knowledge and Skill Sharing, Peer to Peer, App Development , Safety and Security, Quality Teachers and Tutors, Market Exposure, Self-management and Flexibility, Diversity of Subjects and Skills, Primary to University Tutoring, Skill-based Tutoring, and Personal Brand Building and Profiling",Privately Held,http://www.2torapp.com
"300milligrams
",2-10 employees,"300milligrams is a design company based out of 444 Castro str, Mountain View, CA, United States.",,"Mountain View, CA",,Design,,,,,,
"3guppies
",11-50 employees,"3guppies is a computer software company based out of 100 South King Street, Suite 320, Seattle, Washington, United States.",,"Seattle, Washington",,Computer Software,,,,,,
"3secondreceipts
",2-10 employees,"Smart businesses love options. Hence when it comes to business intelligence, we offer smart choices. Whether your business is looking for a complete solution of digital receipts, customized access to our consumer purchasing intelligence or anything in between we have the solution!",2009,,https://media.licdn.com/dms/image/C560BAQHdRwcgxX64cA/company-logo_400_400/0?e=1583971200&v=beta&t=OyFK2qwpAKJIjL80R0oiDhPYQ0qxjFbWtZlQjjwFdWI,Information Technology & Services,3SecondReceipts,2.0,,,Public Company,http://www.3SecondReceipts.com
"5capital
",2-10 employees,"5Capital is a boutique placement firm that specializes in raising capital for private equity and other alternative strategies, between $100 Million and $1 Billion in size, from institutional investors in the Americas, Europe and rest of the world. We consider ourselves  to be a true partner for small and medium funds providing services that were previously only available to large private equity funds.",,"Chicago, IL",https://media.licdn.com/dms/image/C560BAQEOBFytWjEfgQ/company-logo_400_400/0?e=1583971200&v=beta&t=rmy0x8uvHeDqI29JMBX5uF9mVmHR-bvwREKzYJHu3xA,Investment Banking,5Capital,9.0,,,Privately Held,http://www.5-capital.com
